Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
data,4,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,88,3,0,96.703297,3.296703,0,0.935659,0.022075,0.148167,6.523495,36.069249,110.586637,83.230699,27.355938,1.215238,0.914623,0.300615,102.376498,1.125016,92.575831,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.996343,0.998143,0.967033,0.006227,0.993773,0.032967,0.96978,0.967033,0.968084,0.953135,0.995854,0.975248,0.917614,0.967033,0.002,0,0.015625,0,15.625,0,3316,110390,13832,96.703297,33.333333,?
data,4,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.957297,0.014709,0.121046,4.346782,29.46698,110.586637,90.216379,20.370258,1.215238,0.991389,0.223849,106.181106,1.166825,96.016218,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.99582,0.99791,0.978022,0.001832,0.998168,0.021978,0.982906,0.978022,0.97924,0.967546,0.995444,0.984904,0.948899,0.978022,0.002,0,0,0,0,0,3316,110390,13832,97.802198,33.333333,?
data,4,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.956974,0.015134,0.120491,4.472466,29.331857,110.586637,33.482326,77.104311,1.215238,0.367938,0.8473,105.917382,1.163927,95.77774,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978022,0.001832,0.998168,0.021978,0.982906,0.978022,0.978956,0.974767,0.99807,0.983354,0.945,0.978022,0.001,0,0,0,0,0,3316,110390,13832,97.802198,33.333333,?
data,4,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.956584,0.014735,0.121032,4.354405,29.463512,110.586637,67.724535,42.862102,1.215238,0.744226,0.471012,104.665808,1.150174,94.645982,0.982759,57,0.030303,1,0.969697,32,0.017241,1,0.982759,0.982759,0.982759,0.952456,0.996865,0.998288,0.978022,0.02023,0.97977,0.021978,0.978022,0.978022,0.978022,0.957792,0.995909,0.989846,0.946634,0.978022,0.001,0.001,0.015625,0,15.625,0,3316,110390,13832,97.802198,33.333333,?
data,4,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.95625,0.015075,0.106526,4.455028,25.932229,110.586637,50.416664,60.169972,1.215238,0.554029,0.661208,104.515504,1.148522,94.510067,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.989551,0.992937,0.978022,0.02023,0.97977,0.021978,0.978208,0.978022,0.977961,0.965343,0.9885,0.986257,0.942996,0.978022,0.001,0.001,0,0,0,0,3316,110390,13832,98.901099,34.432234,?
data,4,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.008392,0.086398,2.479919,21.032401,110.586637,26.20401,84.382626,1.215238,0.287956,0.927282,108.075217,1.18764,97.729002,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998839,0.989143,0.971242,0.989011,0.001,0,0,0,0,0,3316,110390,13832,98.901099,33.699634,?
data,4,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.978125,0.007333,0.085592,2.166994,20.836187,110.586637,166.715963,-56.129326,1.215238,1.832044,-0.616806,108.298788,1.190097,97.931171,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.980146,0.982451,0.989011,0.019314,0.980686,0.010989,0.989197,0.989011,0.98895,0.977248,0.982612,0.983117,0.990615,0.989011,0.002,0,0,0,0,0,3316,110390,13832,98.901099,33.333333,?
data,4,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.956913,0.016283,0.121995,4.779779,29.475884,111.733776,42.460657,69.27312,1.227844,0.466601,0.761243,105.299431,1.157137,94.24136,1,57,0.029412,1,0.970588,33,0,0,0.982759,1,0.991304,0.976654,1,1,0.978022,0.019339,0.980661,0.021978,0.978211,0.978022,0.977966,0.965678,0.998177,0.982313,0.943193,0.978022,0.001,0.001,0,0,0,0,3316,110390,13832,97.802198,33.699634,?
data,4,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,818,90,90,0,0,100,0,0,1,0.000273,0.002106,0.080502,0.510977,109.929783,0.05364,109.876142,1.221442,0.000596,1.220846,109.876142,1.220846,99.951205,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0,0,0,0,0,3316,110523,13699,100,33.333333,?
data,4,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,818,90,88,2,0,97.777778,2.222222,0,0.9567,0.015015,0.121657,4.424878,29.523883,109.929783,54.13429,55.795493,1.221442,0.601492,0.61995,103.983558,1.155373,94.590888,0.982456,56,0,0,1,33,0.017544,1,1,0.982456,0.99115,0.976504,0.997873,0.99885,0.977778,0.005451,0.994549,0.022222,0.978189,0.977778,0.977833,0.965447,0.998385,0.996295,0.943142,0.977778,0.001,0.001,0,0,0,0,3316,110523,13699,97.777778,33.333333,?
data,5,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,91,0,0,100,0,0,1,0.000048,0.000374,0.014294,0.09104,110.586637,0.009539,110.577097,1.215238,0.000105,1.215133,110.577097,1.215133,99.991374,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,3316,110390,13832,100,33.333333,?
data,5,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.00815,0.085894,2.408471,20.90976,110.586637,25.846256,84.740381,1.215238,0.284025,0.931213,108.132482,1.188269,97.780786,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998839,0.989143,0.971242,0.989011,0.001,0.001,0,0,0,0,3316,110390,13832,98.901099,33.699634,?
data,5,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.978553,0.007569,0.085618,2.236908,20.842372,110.586637,45.266994,65.319643,1.215238,0.497439,0.717798,108.430474,1.191544,98.05025,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.997388,0.998632,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98933,0.979723,0.997943,0.994353,0.974879,0.989011,0.002,0,0.015625,0,15.625,0,3316,110390,13832,98.901099,33.333333,?
data,5,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,88,3,0,96.703297,3.296703,0,0.935369,0.02206,0.148171,6.519071,36.070249,110.586637,156.892511,-46.305874,1.215238,1.724094,-0.508856,102.3795,1.125049,92.578546,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.986416,0.994663,0.967033,0.009707,0.990293,0.032967,0.967847,0.967033,0.967296,0.950495,0.987629,0.974366,0.930614,0.967033,0.002,0,0,0,0,0,3316,110390,13832,96.703297,33.333333,?
data,5,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.957297,0.016443,0.12211,4.859277,29.725864,110.586637,16.17342,94.413217,1.215238,0.17773,1.037508,105.785796,1.162481,95.658751,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,1,1,0.978022,0.001832,0.998168,0.021978,0.982906,0.978022,0.97924,0.967546,0.999738,0.997057,0.948899,0.978022,0.001,0,0,0,0,0,3316,110390,13832,97.802198,33.699634,?
data,5,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,87,4,0,95.604396,4.395604,0,0.910719,0.029295,0.171113,8.657163,41.654962,110.586637,250.800325,-140.213689,1.215238,2.756048,-1.54081,98.422,1.08156,88.999904,1,58,0.090909,3,0.909091,30,0,0,0.95082,1,0.97479,0.929721,0.959248,0.956235,0.956044,0.058858,0.941142,0.043956,0.955834,0.956044,0.954752,0.920961,0.962097,0.95306,0.90134,0.956044,0.001,0,0,0,0,0,3316,110390,13832,95.604396,33.333333,?
data,5,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,89,2,0,97.802198,2.197802,0,0.95625,0.015044,0.121087,4.445831,29.477002,110.586637,47.149832,63.436804,1.215238,0.51813,0.697108,104.425165,1.147529,94.428376,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.99791,0.9988,0.978022,0.02023,0.97977,0.021978,0.978208,0.978022,0.977961,0.965343,0.995037,0.972345,0.942996,0.978022,0.001,0,0.015625,0,15.625,0,3316,110390,13832,97.802198,33.333333,?
data,5,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,88,3,0,96.703297,3.296703,0,0.936125,0.022041,0.148192,6.470064,35.805578,111.733776,40.28781,71.445967,1.227844,0.442723,0.785121,103.344343,1.135652,92.491587,1,57,0,0,1,34,0,0,1,1,1,1,1,1,0.967033,0.006467,0.993533,0.032967,0.969358,0.967033,0.967821,0.959805,0.997882,0.987301,0.914465,0.967033,0.001,0,0,0,0,0,3316,110390,13832,96.703297,33.333333,?
