,,,,,,NaiveBayesSimple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,,,
data,1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,90,1,0,98.901099,1.098901,0,0.978025,0.007624,0.085649,2.25312,20.850095,110.586637,23.161059,87.425578,1.215238,0.254517,0.960721,106.730173,1.172859,96.512722,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.999478,0.999708,0.989011,0.019314,0.980686,0.010989,0.989197,0.989011,0.988635,0.978801,0.997966,0.992671,0.97151,0.989011,0.008,0.004,0.015625,0,15.625,0,3316,110390,13832,98.901099,33.333333,?,,,
data,1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,91,0,0,100,0,0,1,0.002066,0.023963,0.610448,5.833351,110.586637,0.476748,110.109888,1.215238,0.005239,1.209999,110.109888,1.209999,99.568892,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.005,0.001,0,0,0,0,3316,110390,13832,100,33.699634,?,,,
data,1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,88,3,0,96.703297,3.296703,0,0.934673,0.022243,0.148263,6.573281,36.092498,110.586637,88.658136,21.928501,1.215238,0.974265,0.240973,102.164235,1.122684,92.383888,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.989028,0.992495,0.967033,0.021146,0.978854,0.032967,0.969966,0.967033,0.967739,0.95299,0.985675,0.963268,0.917151,0.967033,0.006,0.001,0,0,0,0,3316,110390,13832,96.703297,33.333333,?,,,
data,1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,88,3,0,96.703297,3.296703,0,0.93623,0.022215,0.148055,6.564847,36.041946,110.586637,64.909755,45.676882,1.215238,0.713294,0.501944,103.858748,1.141305,93.916183,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,1,1,0.967033,0.002747,0.997253,0.032967,0.976923,0.967033,0.969454,0.956059,0.997977,0.981112,0.924945,0.967033,0.004,0,0,0,0,0,3316,110390,13832,96.703297,33.333333,?,,,
data,1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,84,7,0,92.307692,7.692308,0,0.851203,0.051347,0.226343,15.174038,55.099936,110.586637,186.032378,-75.445741,1.215238,2.044312,-0.829074,91.905274,1.009948,83.107035,0.965517,56,0.030303,1,0.969697,32,0.034483,2,0.982456,0.965517,0.973913,0.929405,0.992685,0.996217,0.923077,0.028288,0.971712,0.076923,0.938452,0.923077,0.928842,0.889886,0.990115,0.959835,0.827383,0.923077,0.003,0.001,0.015625,0,15.625,0,3316,110390,13832,92.307692,33.333333,?,,,
data,1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,89,2,0,97.802198,2.197802,0,0.956913,0.017081,0.122631,5.047618,29.852757,110.586637,50.910655,59.675981,1.215238,0.559458,0.65578,104.158783,1.144602,94.187495,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.996865,0.998384,0.978022,0.005311,0.994689,0.021978,0.978429,0.978022,0.978078,0.96571,0.996786,0.978617,0.943193,0.978022,0.003,0.002,0,0.015625,0,15.625,3316,110390,13832,97.802198,34.065934,?,,,
data,1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,20201212.07,817,91,91,0,0,100,0,0,1,0.000568,0.00395,0.167984,0.961554,110.586637,0.113514,110.473123,1.215238,0.001247,1.21399,110.473123,1.21399,99.897353,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,3316,110390,13832,100,33.333333,?,,,
